https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CFX,Volume USDT,tradecount
1660694400000,2022-08-17,CFXUSDT,0.0573,0.0609,0.0555,0.0579,26259247.0,1538162.9526,7953
1660608000000,2022-08-16,CFXUSDT,0.0572,0.0586,0.056,0.0573,12712275.0,728903.7409,4102
1660521600000,2022-08-15,CFXUSDT,0.06,0.0614,0.0547,0.0571,28321248.0,1612976.835,8263
1660435200000,2022-08-14,CFXUSDT,0.0625,0.0636,0.0591,0.06,14550496.0,896514.2765,4591
1660348800000,2022-08-13,CFXUSDT,0.064,0.0657,0.0623,0.0623,17066249.0,1088365.9234,4617
1660262400000,2022-08-12,CFXUSDT,0.0618,0.0652,0.0608,0.064,31130121.0,1975404.4709,8536
1660176000000,2022-08-11,CFXUSDT,0.0611,0.065,0.0597,0.0617,31834113.0,1988533.2947,7393
1660089600000,2022-08-10,CFXUSDT,0.0581,0.0628,0.0563,0.0613,23755663.0,1421629.951,6630
1660003200000,2022-08-09,CFXUSDT,0.0638,0.0642,0.0577,0.0582,20394730.0,1229000.5864,5939
1659916800000,2022-08-08,CFXUSDT,0.0593,0.0655,0.0592,0.0638,59309465.0,3711717.6389,17134
1659830400000,2022-08-07,CFXUSDT,0.059,0.0615,0.0587,0.0593,22515387.0,1349023.447,7433
1659744000000,2022-08-06,CFXUSDT,0.0586,0.0627,0.0573,0.059,57756473.0,3499166.4793,16828
1659657600000,2022-08-05,CFXUSDT,0.0578,0.0598,0.0559,0.0586,33342370.0,1933346.2997,8598
1659571200000,2022-08-04,CFXUSDT,0.0547,0.058,0.0542,0.0576,18152293.0,1010364.3566,4967
1659484800000,2022-08-03,CFXUSDT,0.0539,0.0566,0.053,0.0547,13167664.0,727688.9201,3399
1659398400000,2022-08-02,CFXUSDT,0.0558,0.0582,0.053,0.0539,33735712.0,1858618.2495,8495
1659312000000,2022-08-01,CFXUSDT,0.0546,0.0578,0.054,0.0559,24550115.0,1368365.7106,6444
1659225600000,2022-07-31,CFXUSDT,0.0542,0.0589,0.054,0.0548,31174452.0,1767264.2876,8925
1659139200000,2022-07-30,CFXUSDT,0.0542,0.0572,0.0534,0.0542,26932582.0,1495053.0744,8072
1659052800000,2022-07-29,CFXUSDT,0.054,0.0565,0.0528,0.0542,26028368.0,1422929.9137,6796
1658966400000,2022-07-28,CFXUSDT,0.0519,0.0549,0.0509,0.0541,26806865.0,1419859.0682,7764
1658880000000,2022-07-27,CFXUSDT,0.049,0.0524,0.0484,0.052,15646101.0,781252.4707,4787
1658793600000,2022-07-26,CFXUSDT,0.0512,0.0512,0.0475,0.049,15089390.0,737708.0233,4025
1658707200000,2022-07-25,CFXUSDT,0.0561,0.0567,0.0511,0.0511,12262186.0,657868.0623,4525
1658620800000,2022-07-24,CFXUSDT,0.0568,0.0585,0.056,0.0561,15164718.0,866116.5464,5095
1658534400000,2022-07-23,CFXUSDT,0.055,0.058,0.0543,0.0568,30839148.0,1718852.1386,13096
1658448000000,2022-07-22,CFXUSDT,0.0586,0.0603,0.054,0.055,35890257.0,2058403.322,10975
1658361600000,2022-07-21,CFXUSDT,0.0522,0.0627,0.05,0.0587,66514280.0,3825341.212,19521
1658275200000,2022-07-20,CFXUSDT,0.0548,0.0573,0.0512,0.0521,23722449.0,1293103.5775,6413
1658188800000,2022-07-19,CFXUSDT,0.0539,0.0578,0.0525,0.0548,28797447.0,1568815.0984,7371
1658102400000,2022-07-18,CFXUSDT,0.0512,0.0579,0.0512,0.0539,61572961.0,3363710.0419,14260
1658016000000,2022-07-17,CFXUSDT,0.0496,0.0558,0.049,0.0512,53980427.0,2843355.4186,13005
1657929600000,2022-07-16,CFXUSDT,0.0495,0.0515,0.0475,0.0495,12448378.0,611153.8416,4082
1657843200000,2022-07-15,CFXUSDT,0.0491,0.0507,0.0484,0.0495,13260491.0,656602.236,3561
1657756800000,2022-07-14,CFXUSDT,0.0494,0.0579,0.048,0.049,97791704.0,5036020.3015,25192
1657670400000,2022-07-13,CFXUSDT,0.0438,0.0525,0.042,0.0495,38664841.0,1836804.0179,12004
1657584000000,2022-07-12,CFXUSDT,0.0458,0.0459,0.0437,0.0437,6949299.0,313141.0981,2536
1657497600000,2022-07-11,CFXUSDT,0.0485,0.0495,0.0456,0.0458,7810885.0,372973.6066,3086
1657411200000,2022-07-10,CFXUSDT,0.0516,0.0516,0.0478,0.0485,6518907.0,321811.4745,2517
1657324800000,2022-07-09,CFXUSDT,0.051,0.053,0.0509,0.0515,7851132.0,406141.0076,2581
1657238400000,2022-07-08,CFXUSDT,0.0526,0.0537,0.0501,0.051,16180559.0,832320.1448,4211
1657152000000,2022-07-07,CFXUSDT,0.0511,0.0545,0.0508,0.0526,24236739.0,1264093.9276,6490
1657065600000,2022-07-06,CFXUSDT,0.048,0.0549,0.0475,0.051,65987159.0,3399625.9067,15104
1656979200000,2022-07-05,CFXUSDT,0.0497,0.0499,0.0472,0.0479,10760628.0,519354.3993,3166
